ROI,AverageControllability_mean,AverageControllability_std,ModalControllability_mean,ModalControllability_std,MinControlEnergy_mean,MinControlEnergy_std
0,1.3210673201192296,0.06605337600596148,0.9269792390812792,0.15226916954001607,0.6235595774287056,0.0329044532443471
1,1.6329175278271215,0.08164588639135607,1.0392167823114726,0.06497265983547668,0.7487470113175225,0.03743736056587613
2,2.1406777353314848,0.10703389676657424,0.39302151056282075,0.18871514180590054,0.6610477684161812,0.04261564524591677
3,1.4101447670720393,0.07050724835360196,1.06024231876957,0.0530121259384785,0.7661028000707408,0.03830515000353705
4,1.5074219190430933,0.07537110595215467,0.9915318676792306,0.13219252538525583,0.5337967765715848,0.026689848828579242
5,2.478981828116386,0.12394910140581929,0.8170198343722778,0.040851001718613895,0.6694995302158273,0.058396963799471624
6,1.7785729612467498,0.08892865806233749,0.5732376613696817,0.1610472393300035,0.7406540412125115,0.03703271206062558
7,1.877054389298665,0.09385272946493325,0.7757369397967573,0.2805726020681858,0.6741434267963848,0.033707181339819245
8,2.250108016824182,0.14510782297176528,0.8642491495150759,0.15934361722171048,0.6628278943555167,0.03314140471777584
9,1.41459271445285,0.0707296457226425,1.2560733368930164,0.06280367684465081,0.6418635770385152,0.03209318885192576
10,1.8491749453661912,0.11798954713686882,0.5517766561371213,0.02758884280685607,0.8004741329820226,0.040023716649101135
11,2.118487121603396,0.1137443064470578,0.6349567653074474,0.08978106170560618,0.6333554440333587,0.03166778220166794
12,1.453770279701559,0.07268852398507795,0.642418017212697,0.22958928739521856,0.7917864337277418,0.0395893316863871
13,1.9122641993598444,0.09561321996799221,0.8278684577245587,0.04139343288622794,0.619662919233479,0.030983155961673954
14,3.309179899399381,0.16545900496996907,0.4583197731301528,0.0786975673411863,0.6118872730511796,0.0446300337590152
